category,season,pilling,condition,price,pattern,stains,holes,front_img,back_img,timestamp,day,cut_multihot,damage_count,damage_severity,material_dict,material_vector,main_color,brand,type,size,usage
0,0,5,5,<50,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_12_52_44.jpg,/content/dec2022/2022-12-06/back_2022_12_06_12_52_44.jpg,2022_12_06_12_52_44,2022-12-06,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 95, 'spandex': 5}","[0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]",0,2,2,3,1
0,5,5,5,50-100,2,0,0,/content/dec2022/2022-12-06/front_2022_12_06_13_40_24.jpg,/content/dec2022/2022-12-06/back_2022_12_06_13_40_24.jpg,2022_12_06_13_40_24,2022-12-06,"[0, 0, 1, 0, 0, 0, 0, 0]",0,0,"{'viscose': 75, 'lurex': 25}","[0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,2,0,3,1
0,5,4,1,<50,0,0,0,/content/dec2022/2022-12-06/front_2022_12_06_10_12_59.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_12_59.jpg,2022_12_06_10_12_59,2022-12-06,"[0, 0, 0, 0, 1, 1, 0, 0]",0,0,"{'merino': 80, 'polyester': 20}","[0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,0,2,2
1,0,5,3,50-100,0,1,0,/content/dec2022/2022-12-06/front_2022_12_06_10_33_05.jpg,/content/dec2022/2022-12-06/back_2022_12_06_10_33_05.jpg,2022_12_06_10_33_05,2022-12-06,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,0,5,1
0,0,5,3,<50,1,0,1,/content/dec2022/2022-12-06/front_2022_12_06_12_48_29.jpg,/content/dec2022/2022-12-06/back_2022_12_06_12_48_29.jpg,2022_12_06_12_48_29,2022-12-06,"[0, 0, 0, 1, 0, 0, 0, 0]",0,0,"{'cotton': 50, 'modal': 50}","[50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,0,3,0
0,1,5,3,<50,2,1,1,/content/dec2022/2022-12-07/front_2022_12_07_14_21_37.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_21_37.jpg,2022_12_07_14_21_37,2022-12-07,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,{'viscose': 100},"[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,0,3,2
1,0,5,2,<50,0,0,0,/content/dec2022/2022-12-07/front_2022_12_07_14_09_26.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_09_26.jpg,2022_12_07_14_09_26,2022-12-07,"[0, 1, 0, 0, 1, 0, 0, 0]",1,1,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,0,3,2
0,1,4,3,50-100,0,0,0,/content/dec2022/2022-12-07/front_2022_12_07_14_36_08.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_36_08.jpg,2022_12_07_14_36_08,2022-12-07,"[0, 0, 1, 0, 0, 0, 0, 0]",0,0,"{'wool': 77, 'acrylic': 23}","[0, 0, 0, 23, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,2,0,2,1
0,1,5,3,100-150,3,1,2,/content/dec2022/2022-12-07/front_2022_12_07_14_16_17.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_16_17.jpg,2022_12_07_14_16_17,2022-12-07,"[0, 1, 1, 0, 0, 0, 0, 0]",0,0,"{'cotton': 80, 'acrylic': 20}","[80, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,2,1,1,3
0,0,5,1,<50,1,0,0,/content/dec2022/2022-12-07/front_2022_12_07_13_31_00.jpg,/content/dec2022/2022-12-07/back_2022_12_07_13_31_00.jpg,2022_12_07_13_31_00,2022-12-07,"[1, 0, 0, 1, 0, 0, 0, 0]",1,1,{'viscose': 100},"[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,2,0,4,2
0,2,5,4,100-150,0,1,0,/content/dec2022/2022-12-07/front_2022_12_07_14_05_14.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_05_14.jpg,2022_12_07_14_05_14,2022-12-07,"[0, 1, 0, 1, 0, 0, 0, 1]",0,0,"{'polyester': 65, 'cotton': 35}","[35, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,1,3,3,0
2,1,5,3,<50,2,0,0,/content/dec2022/2022-12-07/front_2022_12_07_14_26_55.jpg,/content/dec2022/2022-12-07/back_2022_12_07_14_26_55.jpg,2022_12_07_14_26_55,2022-12-07,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 53, 'nylon': 47}","[0, 53, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,2,7,1
1,3,4,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_14_28_49.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_28_49.jpg,2022_12_15_14_28_49,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,4,0,5,0
0,5,3,2,<50,0,1,0,/content/dec2022/2022-12-15/front_2022_12_15_14_20_55.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_20_55.jpg,2022_12_15_14_20_55,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",1,1,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,3,2,0
1,1,3,3,<50,3,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_06_19.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_06_19.jpg,2022_12_15_13_06_19,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,0,5,0
1,2,4,4,50-100,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_14_38_10.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_38_10.jpg,2022_12_15_14_38_10,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,0,4,0
1,1,5,5,50-100,0,0,0,/content/dec2022/2022-12-15/front_2022_12_15_13_18_28.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_18_28.jpg,2022_12_15_13_18_28,2022-12-15,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 65, 'polyester': 35}","[65, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,0,3,1
2,2,5,5,50-100,1,0,0,/content/dec2022/2022-12-15/front_2022_12_15_14_50_13.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_50_13.jpg,2022_12_15_14_50_13,2022-12-15,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0,7,1
0,1,3,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_12_52_13.jpg,/content/dec2022/2022-12-15/back_2022_12_15_12_52_13.jpg,2022_12_15_12_52_13,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,6,0,3,0
0,3,3,2,<50,0,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_31_10.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_31_10.jpg,2022_12_15_13_31_10,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 50, 'viscose': 50}","[50, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,4,1,2,0
0,2,4,2,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_22_19.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_22_19.jpg,2022_12_15_13_22_19,2022-12-15,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,{'viscose': 100},"[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,4,0,0,0
2,2,5,5,50-100,1,0,0,/content/dec2022/2022-12-15/front_2022_12_15_14_46_01.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_46_01.jpg,2022_12_15_14_46_01,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 92, 'elastane': 8}","[0, 92, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,6,2,7,1
1,1,3,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_15_41.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_15_41.jpg,2022_12_15_13_15_41,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0,6,0
1,2,5,5,100-150,0,0,0,/content/dec2022/2022-12-15/front_2022_12_15_14_33_02.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_33_02.jpg,2022_12_15_14_33_02,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 65, 'cotton': 35}","[35, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,2,0,4,1
0,1,4,2,<50,0,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_13_11.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_13_11.jpg,2022_12_15_13_13_11,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'viscose': 100},"[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1,1,0
2,2,3,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_04_44.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_04_44.jpg,2022_12_15_13_04_44,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0,7,0
3,2,3,1,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_13_01_28.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_01_28.jpg,2022_12_15_13_01_28,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,5,0,2,0
0,1,4,4,<50,0,1,0,/content/dec2022/2022-12-15/front_2022_12_15_12_54_05.jpg,/content/dec2022/2022-12-15/back_2022_12_15_12_54_05.jpg,2022_12_15_12_54_05,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 95, 'elastane': 5}","[95, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,0,4,0
0,1,5,5,50-100,0,0,0,/content/dec2022/2022-12-15/front_2022_12_15_13_18_53.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_18_53.jpg,2022_12_15_13_18_53,2022-12-15,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 65, 'polyester': 35}","[65, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,1,3,1
1,2,4,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_14_40_35.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_40_35.jpg,2022_12_15_14_40_35,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,0,4,0
0,5,3,3,<50,3,1,0,/content/dec2022/2022-12-15/front_2022_12_15_12_58_20.jpg,/content/dec2022/2022-12-15/back_2022_12_15_12_58_20.jpg,2022_12_15_12_58_20,2022-12-15,"[1, 0, 0, 0, 0, 0, 0, 1]",0,0,"{'cotton': 60, 'polyester': 40}","[60, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,0,3,0
0,5,5,5,100-150,0,0,0,/content/dec2022/2022-12-15/front_2022_12_15_13_08_25.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_08_25.jpg,2022_12_15_13_08_25,2022-12-15,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'wool': 100},"[0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,4,0,4,1
1,3,2,2,<50,1,1,1,/content/dec2022/2022-12-15/front_2022_12_15_14_27_16.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_27_16.jpg,2022_12_15_14_27_16,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",1,1,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,2,0,0
0,2,3,3,<50,0,0,0,/content/dec2022/2022-12-15/front_2022_12_15_13_27_56.jpg,/content/dec2022/2022-12-15/back_2022_12_15_13_27_56.jpg,2022_12_15_13_27_56,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 69, 'rayon': 20, 'spandex': 2}","[0, 69, 0, 0, 0, 0, 0, 20, 0, 0, 2, 0, 0, 0, 0, 0]",6,2,0,4,0
0,2,4,5,50-100,1,0,0,/content/dec2022/2022-12-15/front_2022_12_15_14_43_15.jpg,/content/dec2022/2022-12-15/back_2022_12_15_14_43_15.jpg,2022_12_15_14_43_15,2022-12-15,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 73, 'polyester': 27}","[73, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,6,2,2,1
1,3,3,3,<50,1,1,0,/content/dec2022/2022-12-15/front_2022_12_15_12_46_20.jpg,/content/dec2022/2022-12-15/back_2022_12_15_12_46_20.jpg,2022_12_15_12_46_20,2022-12-15,"[0, 1, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,0,5,0
1,2,3,2,<50,1,1,1,/content/dec2022/2022-12-15/front_2022_12_15_12_49_23.jpg,/content/dec2022/2022-12-15/back_2022_12_15_12_49_23.jpg,2022_12_15_12_49_23,2022-12-15,"[0, 0, 0, 0, 1, 1, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,3,6,0
0,2,4,4,50-100,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_51_24.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_51_24.jpg,2022_12_14_08_51_24,2022-12-14,"[0, 0, 0, 1, 0, 0, 0, 0]",0,0,"{'cotton': 85, 'polyester': 15}","[85, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,2,2,2,0
0,5,4,3,<50,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_11_39_31.jpg,/content/dec2022/2022-12-14/back_2022_12_14_11_39_31.jpg,2022_12_14_11_39_31,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,2,3,2,0
2,3,4,2,<50,1,1,2,/content/dec2022/2022-12-14/front_2022_12_14_12_17_28.jpg,/content/dec2022/2022-12-14/back_2022_12_14_12_17_28.jpg,2022_12_14_12_17_28,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",2,1,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,6,2,7,0
2,2,4,3,<50,1,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_34_13.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_34_13.jpg,2022_12_14_08_34_13,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 95, 'elastane': 5}","[95, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,2,7,0
1,2,5,5,50-100,0,0,0,/content/dec2022/2022-12-14/front_2022_12_14_12_25_19.jpg,/content/dec2022/2022-12-14/back_2022_12_14_12_25_19.jpg,2022_12_14_12_25_19,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,2,5,1
1,5,4,3,<50,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_42_54.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_42_54.jpg,2022_12_14_08_42_54,2022-12-14,"[0, 0, 1, 0, 1, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,2,3,0
2,2,3,2,<50,3,0,0,/content/dec2022/2022-12-14/front_2022_12_14_12_06_58.jpg,/content/dec2022/2022-12-14/back_2022_12_14_12_06_58.jpg,2022_12_14_12_06_58,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",54,3,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,1,0,7,0
0,3,4,2,<50,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_28_24.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_28_24.jpg,2022_12_14_08_28_24,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,3,6,0
0,2,4,3,<50,3,1,0,/content/dec2022/2022-12-14/front_2022_12_14_12_19_28.jpg,/content/dec2022/2022-12-14/back_2022_12_14_12_19_28.jpg,2022_12_14_12_19_28,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,2,2,0
2,2,2,2,<50,3,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_46_07.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_46_07.jpg,2022_12_14_08_46_07,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 70, 'polyester': 30}","[70, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,1,7,0
0,3,4,3,<50,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_32_03.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_32_03.jpg,2022_12_14_08_32_03,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 54, 'cotton': 32, 'nylon': 14}","[32, 54, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,3,3,3,0
0,1,4,2,<50,0,0,0,/content/dec2022/2022-12-14/front_2022_12_14_11_57_49.jpg,/content/dec2022/2022-12-14/back_2022_12_14_11_57_49.jpg,2022_12_14_11_57_49,2022-12-14,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12,2,0,0,0
0,3,4,4,<50,1,1,0,/content/dec2022/2022-12-14/front_2022_12_14_10_06_09.jpg,/content/dec2022/2022-12-14/back_2022_12_14_10_06_09.jpg,2022_12_14_10_06_09,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,5,3,4,0
0,2,5,3,<50,1,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_04_09.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_04_09.jpg,2022_12_14_08_04_09,2022-12-14,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0,3,0
0,1,5,5,<50,1,0,0,/content/dec2022/2022-12-14/front_2022_12_14_09_53_23.jpg,/content/dec2022/2022-12-14/back_2022_12_14_09_53_23.jpg,2022_12_14_09_53_23,2022-12-14,"[1, 0, 0, 1, 0, 0, 0, 0]",0,0,{'polyester': 100},"[0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,6,0,1,1
1,3,4,3,<50,1,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_09_36.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_09_36.jpg,2022_12_14_08_09_36,2022-12-14,"[1, 0, 0, 0, 1, 0, 0, 0]",0,0,{'cotton': 100},"[100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,5,0,2,0
0,5,4,2,<50,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_07_54_36.jpg,/content/dec2022/2022-12-14/back_2022_12_14_07_54_36.jpg,2022_12_14_07_54_36,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'polyester': 65, 'cotton': 35}","[35, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,2,3,3,0
0,2,3,3,50-100,0,1,0,/content/dec2022/2022-12-14/front_2022_12_14_08_54_41.jpg,/content/dec2022/2022-12-14/back_2022_12_14_08_54_41.jpg,2022_12_14_08_54_41,2022-12-14,"[0, 0, 0, 0, 1, 0, 0, 0]",0,0,"{'cotton': 94, 'polyester': 5, 'elastane': 1}","[94, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,2,1,0
